biz_configuration_id,product_id,search_term,cluster_id,row_num
114,B0F335ZD75,hair dye,1,0
114,B0F335ZD75,hair dye shampoo for women,1,1
114,B0F335ZD75,hair shampoo dye,1,2
114,B0F335ZD75,shampoo hair dye,1,3
114,B0F335ZD75,dye hair shampoo,1,4
114,B0F335ZD75,hair shampoo dye for women,1,5
114,B0F335ZD75,dark brown hair dye,2,24
114,B0F335ZD75,hair dye shampoo dark brown,2,25
114,B0F335ZD75,dark brown,2,26
114,B0F335ZD75,dark brown hair dye shampoo,2,27
114,B0F335ZD75,shampoo dye hair color dark brown,2,28
114,B0F335ZD75,hair color shampoo,3,50
114,B0F335ZD75,color shampoo for gray hair,3,52
114,B0F335ZD75,hair color shampoo for gray hair coverage,3,54
114,B0F335ZD75,coloring shampoo for gray hair,3,56
114,B0F335ZD75,coloring shampoo,3,58
114,B0F335ZD75,shampoo that colors hair,3,62
114,B0F335ZD75,shampoo for gray hair for women,4,73
114,B0F335ZD75,gray hair shampoo,4,75
114,B0F335ZD75,shampoo for gray hair,4,80
114,B0F335ZD75,shampoo gray hair,4,83
114,B0F335ZD75,gray hair shampoo for woman,4,85
114,B0F335ZD75,black hair dye shampoo,5,90
114,B0F335ZD75,black hair dye shampoo for women,5,93
114,B0F335ZD75,hair dye shampoo light brown,6,99
114,B0F335ZD75,light brown hair dye,6,101
114,B0F335ZD75,light brown shampoo hair dye,6,105
114,B0F335ZD75,hair dye shampoo for men,7,110
114,B0F335ZD75,dye shampoo for men,7,112
114,B0F335ZD75,shampoo dye,8,118
114,B0F335ZD75,color dye shampoo,8,120
114,B0F335ZD75,novahair instant dye shampoo,9,125
114,B0F335ZD75,instant dye shampoo for gray hair,10,130
114,B0F335ZD75,instant hair dye shampoo,10,132
114,B0F335ZD75,semi-permanent hair dye shampoo,11,137
114,B0F335ZD75,best hair dye shampoo,12,141
114,B0F335ZD75,shampoo for grey hair,13,147
114,B0F335ZD75,black shampoo for grey hair,13,150
114,B0F335ZD75,grey hair shampoo for women,13,153
114,B0F335ZD75,medium brown hair dye shampoo,14,157
114,B0F335ZD75,grey coverage shampoo,15,161
114,B0F335ZD75,hair colour shampoo for women,16,165
114,B0F335ZD75,gray hair color for women,17,170
114,B0F335ZD75,barrido de color de cabello,18,174
114,B0F335ZD75,shampoo para canas hombre,19,177
114,B0F336CMMW,hair dye shampoo for women,1,180
114,B0F336CMMW,shampoo hair dye,1,181
114,B0F336CMMW,hair shampoo dye,1,182
114,B0F336CMMW,dye hair shampoo,1,183
114,B0F336CMMW,hair shampoo dye for women,1,184
114,B0F336CMMW,hair color shampoo,2,200
114,B0F336CMMW,color shampoo for gray hair,2,201
114,B0F336CMMW,hair color shampoo for gray hair coverage,2,202
114,B0F336CMMW,coloring shampoo for gray hair,2,203
114,B0F336CMMW,coloring shampoo,2,204
114,B0F336CMMW,shampoo dye hair color dark brown,2,205
114,B0F336CMMW,shampoo that colors hair,2,206
114,B0F336CMMW,shampoo for gray hair for women,3,232
114,B0F336CMMW,gray hair shampoo,3,235
114,B0F336CMMW,shampoo for gray hair,3,237
114,B0F336CMMW,gray hair shampoo for woman,3,239
114,B0F336CMMW,instant dye shampoo for gray hair,4,246
114,B0F336CMMW,instant hair dye shampoo,4,248
114,B0F336CMMW,medium brown hair dye shampoo,5,253
114,B0F336CMMW,hair dye shampoo for men,6,258
114,B0F336CMMW,dye shampoo for men,6,260
114,B0F336CMMW,novahair instant dye shampoo,7,265
114,B0F336CMMW,die shampoo for women,8,269
114,B0F336CMMW,grey coverage shampoo,9,273
114,B0F336CMMW,best hair dye shampoo,10,277
114,B0F336CMMW,shampoo for grey hair,11,281
114,B0F336CMMW,color dye shampoo,12,285
114,B0F336CMMW,hair dye shampoo light brown,13,290
114,B0F336CMMW,light brown shampoo hair dye,13,294
114,B0F336CMMW,dark brown hair dye shampoo,14,297
114,B0F336CMMW,gray coverage hair dye for women,15,301
114,B0F336CMMW,semi-permanent hair dye shampoo,16,305
114,B0F336CMMW,shampoo tinte para las canas,17,309
114,B0F336CMMW,gray hair color for women,18,313
114,B0F336CMMW,shampoo para canas hombre,19,317
114,B0F336CMMW,color fix,20,321
114,B0F3377F7P,hair color shampoo,1,324
114,B0F3377F7P,color shampoo for gray hair,1,325
114,B0F3377F7P,coloring shampoo for gray hair,1,326
114,B0F3377F7P,hair color shampoo for gray hair coverage,1,327
114,B0F3377F7P,coloring shampoo,1,328
114,B0F3377F7P,shampoo that colors hair,1,329
114,B0F3377F7P,shampoo dye hair color dark brown,1,330
114,B0F3377F7P,hair dye shampoo for women,2,352
114,B0F3377F7P,hair shampoo dye,2,353
114,B0F3377F7P,dye shampoo for gray hair for women,2,354
114,B0F3377F7P,hair shampoo dye for women,2,355
114,B0F3377F7P,hair dye shampoo light brown,3,370
114,B0F3377F7P,light brown shampoo hair dye,3,372
114,B0F3377F7P,shampoo for gray hair for women,4,381
114,B0F3377F7P,gray hair shampoo,4,386
114,B0F3377F7P,shampoo for gray hair,4,388
114,B0F3377F7P,gray hair shampoo for woman,4,391
114,B0F3377F7P,shampoo gray hair,4,393
114,B0F3377F7P,instant dye shampoo for gray hair,5,398
114,B0F3377F7P,instant hair dye shampoo,5,400
114,B0F3377F7P,novahair instant dye shampoo,6,405
114,B0F3377F7P,grey coverage shampoo,7,409
114,B0F3377F7P,hair dye shampoo for men,8,414
114,B0F3377F7P,color dye shampoo,9,417
114,B0F3377F7P,shampoo for grey hair,10,422
114,B0F3377F7P,grey hair shampoo for women,10,425
114,B0F3377F7P,gray coverage hair dye for women,11,429
114,B0F3377F7P,medium brown hair dye shampoo,12,433
114,B0F3377F7P,hair dye shampoo dark brown,13,438
114,B0F3377F7P,dark brown hair dye shampoo,13,441
114,B0F3377F7P,best hair dye shampoo,14,445
114,B0F3377F7P,semi-permanent hair dye shampoo,15,449
114,B0F3377F7P,gray hair color for women,16,454
114,B0F3377F7P,shampoo tinte para las canas,17,457
114,B0F3377F7P,hair colour shampoo for women,18,461
114,B0F33QRR6H,purple hair dye shampoo,1,464
114,B0F33QRR6H,gray hair shampoo,2,470
114,B0F33QRR6H,shampoo for gray hair,2,471
114,B0F33QRR6H,shampoo for gray hair for women,2,473
114,B0F33QRR6H,gray hair shampoo for woman,2,482
114,B0F33QRR6H,shampoo gray hair,2,485
114,B0F33QRR6H,silver hair dye,3,489
114,B0F33QRR6H,purple hair dye permanent,4,493
114,B0F33QRR6H,shampoo dye hair color,5,501
114,B0F33QRR6H,shampoo dye,5,504
114,B0F33QRR6H,dye hair shampoo,5,507
114,B0F33QRR6H,hair shampoo dye,5,509
114,B0F33QRR6H,color shampoo for gray hair,6,514
114,B0F33QRR6H,hair color shampoo for gray hair coverage,6,518
114,B0F33QRR6H,hair dye shampoo for men,7,521
114,B0F33QRR6H,instant dye shampoo for gray hair,8,526
