select_box,parent_product_id,product_id,search_term,cluster_id,inf_config,kw-prediction_iteration_selected,kw-target_rank,kw-estimated_additional_sales,kw-estimated_additional_loss,kw-total_soft_score,kw-total_hard_score,sr_rc-prediction_iteration_selected,sr_rc-target_rank,sr_rc-estimated_additional_sales,sr_rc-estimated_additional_loss,sr_rc-total_soft_score,sr_rc-total_hard_score,kw_sr_rc-prediction_iteration_selected,kw_sr_rc-target_rank,kw_sr_rc-estimated_additional_sales,kw_sr_rc-estimated_additional_loss,kw_sr_rc-total_soft_score,kw_sr_rc-total_hard_score,pr-prediction_iteration_selected,pr-target_rank,pr-estimated_additional_sales,pr-estimated_additional_loss,pr-total_soft_score,pr-total_hard_score,total_soft_score_product,color_code,biz_configuration_id,session_id
FALSE,B0BVGKTF15,B0B15NZVJR,glasses cleaner wipes,1,kw,28,83.23,14.18,0,0.61,-1.9,38,119.93,1.33,667.55,0,-2.93,30,77.9,17.2,523.07,0,-2.63,1,126,0,0,0,-2.89,6.46,1.1,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
TRUE,B0BVGKTF15,B0B15NZVJR,eyeglass cleaner,2,kw,5,1,"61,309",0,3569.68,0,54,1,"61,309",957,1.7,-0.89,5,1,"61,309",72.1,45.89,-0.75,1,8,0,0,0,-1.94,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
TRUE,B0BVGKTF15,B0B15NZVJR,eyeglass cleaner spray,2,kw,4,1,"5,219",0,329.74,0,28,1,"5,219",486.96,0.53,-0.93,4,1,"5,219",54.08,5.69,-0.75,1,5,0,0,0,-1.97,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
TRUE,B0BVGKTF15,B0B15NZVJR,eyeglasses cleaner,2,kw,7,1,"4,584",0,258.14,0,100,2.37,"1,400",1923,0,-0.94,6,1.04,"4,353",90.13,2.55,-0.75,1,11,0,0,0,-1.89,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
TRUE,B0BVGKTF15,B0B15NZVJR,lens cleaner for eyeglasses,2,kw,7,1,"2,303",0,131.29,0,73,1.01,"2,272",1302.69,0,-0.97,6,1,"2,303",90.13,1.28,-0.88,1,9,0,0,0,-1.96,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,eyeglass cleaner wipes,2,kw,61,1,3347.67,0,68.29,-1,16,52.1,1.58,270.45,0,-2.93,47,1,3347.67,830.26,0.1,-1.75,1,55,0,0,0,-2.89,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
TRUE,B0BVGKTF15,B0B15NZVJR,eyeglass lens cleaner,2,kw,4,1,803,0,50.5,0,32,1,803,559.18,0,-0.97,4,1,803,54.08,0.93,-0.88,1,6,0,0,0,-1.96,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
FALSE,B0BVGKTF15,B0B15NZVJR,eyeglass cleaners,2,kw,7,1,959.36,0,39.75,-1,44,9.21,30.78,776,0,-2.73,7,1,959.36,108.16,0.3,-1.75,1,16,0,0,0,-2.89,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
TRUE,B0BVGKTF15,B0B15NZVJR,eyeglass spray cleaner,2,kw,3,1,591,0,34.4,0,20,1,591,342.6,0,-0.97,3,1,591,36.05,0.89,-0.88,1,3,0,0,0,-1.96,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
TRUE,B0BVGKTF15,B0B15NZVJR,eyeglasses cleaner spray,2,kw,4,1,558,0,34.35,0,20,1,558,342.6,0,-0.97,3,1.18,438,36.05,0.69,-0.88,1,5,0,0,0,-1.96,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
TRUE,B0BVGKTF15,B0B15NZVJR,eyeglass lens cleaner spray,2,kw,3,1,368,0,24.78,0,13,1,368,216.35,0,-0.98,3,1,368,36.05,0.5,-0.82,1,3,0,0,0,-1.98,6.46,1.2,103,9bbe5b2f-c57e-42a8-8de8-b1208baa4563
