product_id,parent_product_id,title,description,features
B000V22Q04,B0765KVHXS,NFL Siskiyou Sports Womens Cincinnati Bengals Dangle Earrings One Size Team Color,These on classic Cincinnati Bengals Dangle earrings are lightweight and casual fashion earring with a striking team charm. These trendy understated earrings feature a carved and detailed enameled charm. Sporty meets fashion-forward with these spirited earrings that would make the perfect gift for any female fan. These trendy earrings are the perfect for every day but especially fun to glam up on game-day.,Officially licensed product licensee: Siskiyou buckle; Dangle earrings with an athletic twist; These classic earrings come on hypoallergenic fishhook posts; The striking team charm has expertly enameled team colors and carved detail; A must-have fan accessory for any sassy female fan; satisfaction guarateed
B000V1VDWW,B0765KVHXS,NFL Siskiyou Sports Womens New Orleans Saints Dangle Earrings One Size Team Color,These on classic New Orleans Saints Dangle earrings are lightweight and casual fashion earring with a striking team charm. These trendy understated earrings feature a carved and detailed enameled charm. Sporty meets fashion-forward with these spirited earrings that would make the perfect gift for any female fan. These trendy earrings are the perfect for every day but especially fun to glam up on game-day.,Officially licensed product licensee: Siskiyou buckle; Dangle earrings with an athletic twist; These classic earrings come on hypoallergenic fishhook posts; The striking team charm has expertly enameled team colors and carved detail; A must-have fan accessory for any sassy female fan; satisfaction guarateed
B002BK9MEW,B0765KVHXS,"Siskiyou Sports Women's New York Giants Dangle Earrings, Zinc, One Size, Team Color",These on classic New York Giants Dangle earrings are lightweight and casual fashion earring with a striking team charm. These trendy understated earrings feature a carved and detailed enameled charm. Sporty meets fashion-forward with these spirited earrings that would make the perfect gift for any female fan. These trendy earrings are the perfect for every day but especially fun to glam up on game-day.,Officially licensed NFL product; Hand enameled finish; Fully cast team emblem; Hypoallergenic fishhook posts; Great for gameday and everyday use
B00JCJYZLA,B0156K932Y,NFL Siskiyou Sports Womens Pittsburgh Steelers Fan Bead Bracelet One Size Team Color,"Description

Flash your Pittsburgh Steelers spirit with this bright stretch bracelet. These bright bracelets stretch to fit and feature a full metal team charm with enameled details. Perfect, eye catching game day accessory.","Officially licensed product licensee: Siskiyou buckle; Brightly colored team beads; Stretches to fit comfortably on most wrists; Perfect game day accessory; Team charm with enameled team colors; Officially licensed NFL product; Brightly colored team beads and Pittsburgh Steelers charm; Fully cast, chrome charm with enameled detail; Perfect game day accessory; Stretches to comfortably fit even large wrists"
B078YYHTQJ,B07Z76DS75,Siskiyou Sports NFL Fan Shop Pittsburgh Steelers MVP Toothbrush One Size Team Color,"Description

Why have a boring old toothbrush when you can have the MVP of toothbrushes! This cool team toothbrush features crisp team graphics on a team colored toothbrush. This is no simple novelty item though, it is a high-quality hygiene device with soft bristles for a gentle clean and rubber gum massagers on the sides of the bristles. The toothbrush comes with a travel case featuring team colors and logo.",Officially licensed product licensee: Siskiyou buckle; Striking complimentary team colors; Soft bristles for comfort; Rubber gum massagers on the sides of the bristles; Crisp graphics that will make any fan proud!
B008WDTPG2,B0FR3LD33G,NFL Pittsburgh Steelers Wayfarer Sunglasses,"Description

Our beachfarer sunglass feature the team logo and name silk screened on the arm of these great retro glasses. 400 UVA protection.",Officially licensed product; Maximum UVA/UVB protection; Flex hinges for comfort and durability; Retro beachfarer style; Team logos on each arm
B00W5VQ40C,B00W5VQ40C,NFL Siskiyou Sports Fan Shop Pittsburgh Steelers Chain Necklace with Small Charm 22 inch Team Color,"Description

Make a statement with our collegiate chain necklaces. The 20 inch chain features a fully cast, high polish Pittsburgh Steelers pendant with vivid enameled details. Perfect accessory for game day and nice enough to wear everyday!",Officially licensed product licensee: Siskiyou buckle; 20 inch chain necklace; Fully cast metal pendant; Enameled teams colors
B001ESBT8E,B0FQY23N94,"Siskiyou NFL Pittsburgh Steelers Key Chain , Black","Description

These exceptionally detail key chains are fully cast metal with fine details and 3D sculpting. The are a superior quality for the die- hard Oakland Raiders fan! the key chain has a standard Split Ring for organizing your home and auto keys.",Officially licensed NFL product; Fully cast metal key chain; Standard split ring; Exceptional fine detail; Great way to show off your Pittsburgh Steelers pride
B01MY89VGM,B0FQY8QNDM,"Siskiyou unisex-adult NFL Pittsburgh Steelers Home State Flexi Key Chain Black, Split Ring","Description

Our Flexble home state team key chains are a fun way to carry your team with you. The pliable rubber material is extremely durable and the layered colors add a great 3D look to the key chain. This is really where quality and a great price meet to create a true fan favorite.",Officially licensed NFL product licensee: Siskiyou buckle; Made of AA pliable rubber like material that retains vivid colors; The state Outline fob features the team's primary logo and a heart over the stadium's location; Features a Split Ring perfect for organizing your home and auto keys; Great way for a die-hard Pittsburgh Steelers fan to show off their team pride
B009OFED0U,B009OFED0U,Pittsburgh Steelers Aviator Sunglasses,"Description

Aviator sunglasses are truly an iconic retro fashion statement that never goes out-of-style. Our Pittsburgh Steelers aviator sunglasses pair this classic look with your love of the game. The iridium coated lenses reduce glare while driving, boating, golfing and their 100% UVA/UVB rating provides you with the maximum UV protection for all your outdoor activities. A millennial favorite, these affordable designer frames are the perfect eyewear accessory for a sports fan that is looking for high-quality at an affordable price. The durable, flex hinged frames are tough enough for hiking and camping or if you prefer sun bathing by the pool or on the beach these shades will really stand the test of time. The lens has a full color team logo that will make even the most die-hard fan proud!","Officially licensed NFL product Licensee: Siskiyou Buckle; Iconic retro look that never goes out-of-style; The iridium coated lenses help reduce glare, perfect for any outdoor activity; The silver colored frames and mirrored lenses are as durable as they are fashionable; The full color logo on the front of the sunglasses makes these a perfect accessory for the die-hard Pittsburgh Steelers fan"
