select_box,parent_product_id,product_id,search_term,cluster_id,inf_config,kw-prediction_iteration_selected,kw-target_rank,kw-estimated_additional_sales,kw-estimated_additional_loss,kw-total_soft_score,kw-total_hard_score,sr_rc-prediction_iteration_selected,sr_rc-target_rank,sr_rc-estimated_additional_sales,sr_rc-estimated_additional_loss,sr_rc-total_soft_score,sr_rc-total_hard_score,kw_sr_rc-prediction_iteration_selected,kw_sr_rc-target_rank,kw_sr_rc-estimated_additional_sales,kw_sr_rc-estimated_additional_loss,kw_sr_rc-total_soft_score,kw_sr_rc-total_hard_score,pr-prediction_iteration_selected,pr-target_rank,pr-estimated_additional_sales,pr-estimated_additional_loss,pr-total_soft_score,pr-total_hard_score,total_soft_score_product,color_code,biz_configuration_id,session_id
TRUE,B0DKB1QP7Z,B08L5LY34P,led recessed lighting 4 inch,2,kw,17,1,2824.42,0,24.3,-0.83,78,1,2824.42,1274.36,0,-0.99,15,1,2824.42,231.14,0.15,-0.96,1,17,0,0,0,-1.99,0,2.2,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0C671BXVD,B08LP5LFZN,decorative light bulb,1,kw,31,1,2266.72,0,79.64,0,100,1.54,1307.63,1182.48,0,-0.97,28,1,2266.72,296.11,0.28,-0.75,1,30,0,0,0,-1.96,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0C671BXVD,B08LP5LFZN,decorative light bulbs,1,kw,65,1,1417.52,0,25.88,0,98,31.99,10.38,1102.7,0,-1.93,53,1,1417.52,571.02,0.09,-0.75,1,61,0,0,0,-1.96,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0C671BXVD,B08LP5LFZN,decorative led light bulbs,1,kw,43,119.22,0.26,0,0,-1.94,97,135.21,0.15,1082.98,0,-1.98,96,61.57,1.25,1066.42,0,-1.96,1,167,0,0,0,-1.97,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
TRUE,B0C671BXVD,B08LP5LFZN,g25 led light bulbs,2,kw,21,1,1437.97,0,54.73,-0.83,78,12.62,22.27,848.56,0,-1.9,17,1,1437.97,175.42,0.33,-0.97,1,18,0,0,0,-1.99,0,1.2,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0C671BXVD,B08LP5LFZN,g25 light bulbs,2,kw,28,1,440.12,0,15.08,-0.73,53,19.61,1.97,571.02,0,-1.98,26,1,440.12,274.16,0,-0.98,1,23,0,0,0,-1.98,0,1.2,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0C671BXVD,B08LP5LFZN,led vanity light bulbs,3,sr_rc,50,1,906.92,0,22.08,-0.89,100,12.31,29.38,1182.48,0,-1.87,43,1,906.92,460.92,0,-0.98,1,36,0,0,0,-1.99,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0C671BXVD,B08LP5LFZN,light bulbs for bathroom above mirror,4,sr_rc,100,9.57,28.53,0,0.01,-1.8,100,49.15,1.52,1182.48,0,-1.97,89,1,519.57,975.02,0,-0.97,1,72,0,0,0,-1.98,0,1.2,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0C671BXVD,B08LP5LFZN,led globe light bulbs,5,sr_rc,12,1,743.17,0,27.54,-1.44,66,1,743.17,714.68,0,-1.7,11,1,743.17,109.62,0.3,-1.68,1,15,0,0,0,-2.7,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
FALSE,B0C671BXVD,B08LP5LFZN,globe led light bulbs,5,sr_rc,16,1,344.69,0,12.75,-1.48,100,1.99,141.02,1182.48,0,-2.15,15,1,344.69,153.48,0.15,-1.72,1,20,0,0,0,-2.73,0,1.1,107,9f440b6d-b2d5-43eb-9f24-a23f7a88ec07
